N	depth	rgb	gt
68	1305031104.431435	1305031104.443288	1305031104.435800
69	1305031104.463413	1305031104.475456	1305031104.465900
70	1305031104.495673	1305031104.511329	1305031104.495800
71	1305031104.531450	1305031104.543368	1305031104.535900
72	1305031104.563149	1305031104.575343	1305031104.565800
73	1305031104.595033	1305031104.611336	1305031104.595800
74	1305031104.631368	1305031104.643243	1305031104.635800
75	1305031104.659863	1305031104.675525	1305031104.656000
76	1305031104.695185	1305031104.711277	1305031104.695800
77	1305031104.730936	1305031104.743280	1305031104.735900
78	1305031104.763178	1305031104.775327	1305031104.765800
79	1305031104.799499	1305031104.811465	1305031104.795800
80	1305031104.830961	1305031104.843258	1305031104.835900
81	1305031104.863256	1305031104.875350	1305031104.865800
82	1305031104.899165	1305031104.911534	1305031104.895800
83	1305031104.931091	1305031104.943262	1305031104.936200
84	1305031104.959750	1305031104.975202	1305031104.955800
85	1305031104.998342	1305031105.011290	1305031104.995800
86	1305031105.030427	1305031105.043373	1305031105.025800
87	1305031105.062445	1305031105.075320	1305031105.065800
88	1305031105.097639	1305031105.111299	1305031105.095800
89	1305031105.130269	1305031105.143106	1305031105.125800
90	1305031105.159979	1305031105.175159	1305031105.155800
91	1305031105.198212	1305031105.211268	1305031105.195800
92	1305031105.228250	1305031105.243270	1305031105.225800
93	1305031105.262389	1305031105.275288	1305031105.265800
94	1305031105.298501	1305031105.311290	1305031105.295800
95	1305031105.328878	1305031105.343302	1305031105.325800
96	1305031105.362286	1305031105.375338	1305031105.365900
97	1305031105.398191	1305031105.411286	1305031105.395800
98	1305031105.430336	1305031105.443316	1305031105.425800
99	1305031105.461421	1305031105.475280	1305031105.465800
100	1305031105.497931	1305031105.511332	1305031105.495800
101	1305031105.529583	1305031105.543282	1305031105.525800
102	1305031105.562109	1305031105.575449	1305031105.565800
103	1305031105.597193	1305031105.611378	1305031105.595800
104	1305031105.627128	1305031105.643273	1305031105.625800
105	1305031105.659104	1305031105.675166	1305031105.655800
106	1305031105.698235	1305031105.711309	1305031105.695800
107	1305031105.730336	1305031105.743312	1305031105.725800
108	1305031105.762384	1305031105.775339	1305031105.765800
109	1305031105.798056	1305031105.811283	1305031105.795900
110	1305031105.830008	1305031105.843271	1305031105.825800
111	1305031105.862238	1305031105.875337	1305031105.865800
112	1305031105.898018	1305031105.911262	1305031105.895800
113	1305031105.929855	1305031105.943272	1305031105.925800
114	1305031105.966193	1305031105.975329	1305031105.965800
115	1305031105.998271	1305031106.011285	1305031105.995900
116	1305031106.030147	1305031106.043355	1305031106.025800
117	1305031106.066060	1305031106.075330	1305031106.065800
118	1305031106.096295	1305031106.111327	1305031106.095800
119	1305031106.130445	1305031106.143355	1305031106.125800
120	1305031106.166330	1305031106.175534	1305031106.165800
121	1305031106.195074	1305031106.211275	1305031106.195900
122	1305031106.230058	1305031106.243267	1305031106.225800
123	1305031106.265976	1305031106.276385	1305031106.265800
124	1305031106.298174	1305031106.311238	1305031106.295800
125	1305031106.330215	1305031106.343258	1305031106.325800
126	1305031106.366158	1305031106.375388	1305031106.365800
127	1305031106.398281	1305031106.411320	1305031106.395800
128	1305031106.430639	1305031106.443278	1305031106.425800
129	1305031106.466046	1305031106.475345	1305031106.466100
130	1305031106.498096	1305031106.511129	1305031106.495800
131	1305031106.528267	1305031106.543302	1305031106.525900
132	1305031106.564414	1305031106.575282	1305031106.565800
133	1305031106.597879	1305031106.611151	1305031106.595900
134	1305031106.630776	1305031106.643207	1305031106.625800
135	1305031106.667282	1305031106.675279	1305031106.665800
136	1305031106.699110	1305031106.711508	1305031106.695800
137	1305031106.729550	1305031106.743341	1305031106.725800
138	1305031106.767126	1305031106.775390	1305031106.765800
139	1305031106.798309	1305031106.811289	1305031106.795800
140	1305031106.830652	1305031106.843416	1305031106.825800
141	1305031106.866893	1305031106.875905	1305031106.865800
142	1305031106.897828	1305031106.911243	1305031106.895800
143	1305031106.930797	1305031106.943439	1305031106.925800
144	1305031106.967232	1305031106.975547	1305031106.965800
145	1305031106.998876	1305031107.011576	1305031106.995800
146	1305031107.030348	1305031107.043281	1305031107.025800
147	1305031107.066405	1305031107.075432	1305031107.065800
148	1305031107.098268	1305031107.111229	1305031107.095800
149	1305031107.130308	1305031107.143260	1305031107.125800
150	1305031107.165964	1305031107.175399	1305031107.165800
151	1305031107.198208	1305031107.211358	1305031107.195800
152	1305031107.235026	1305031107.243378	1305031107.235800
153	1305031107.267071	1305031107.275398	1305031107.265800
154	1305031107.299273	1305031107.311226	1305031107.295800
155	1305031107.334800	1305031107.343509	1305031107.335800
156	1305031107.367183	1305031107.375413	1305031107.365800
157	1305031107.399345	1305031107.411271	1305031107.395800
158	1305031107.434926	1305031107.443419	1305031107.435800
159	1305031107.467141	1305031107.475377	1305031107.465800
160	1305031107.498426	1305031107.511352	1305031107.495800
161	1305031107.534830	1305031107.543605	1305031107.535800
162	1305031107.567015	1305031107.575454	1305031107.565800
163	1305031107.598904	1305031107.611271	1305031107.595800
164	1305031107.634944	1305031107.643323	1305031107.635800
165	1305031107.667179	1305031107.675568	1305031107.665800
166	1305031107.699390	1305031107.711307	1305031107.695800
167	1305031107.735041	1305031107.743538	1305031107.735800
168	1305031107.767895	1305031107.775802	1305031107.765800
169	1305031107.799544	1305031107.811596	1305031107.795800
170	1305031107.835751	1305031107.843332	1305031107.835800
171	1305031107.863505	1305031107.875358	1305031107.865800
172	1305031107.899222	1305031107.911541	1305031107.895800
173	1305031107.933609	1305031107.943122	1305031107.935800
174	1305031107.964840	1305031107.975807	1305031107.965800
175	1305031107.998469	1305031108.011320	1305031107.995700
176	1305031108.034824	1305031108.043418	1305031108.035800
177	1305031108.067271	1305031108.075352	1305031108.065700
178	1305031108.099365	1305031108.111378	1305031108.095800
179	1305031108.135281	1305031108.143334	1305031108.135800
180	1305031108.167357	1305031108.176058	1305031108.165800
181	1305031108.199225	1305031108.211475	1305031108.195800
182	1305031108.235213	1305031108.243347	1305031108.235800
183	1305031108.267660	1305031108.275358	1305031108.265800
184	1305031108.299547	1305031108.311332	1305031108.295800
185	1305031108.335019	1305031108.343278	1305031108.335800
186	1305031108.367285	1305031108.375410	1305031108.365800
187	1305031108.399284	1305031108.411361	1305031108.395800
188	1305031108.435023	1305031108.443610	1305031108.435800
189	1305031108.467680	1305031108.475471	1305031108.465800
190	1305031108.503548	1305031108.511378	1305031108.505800
191	1305031108.534811	1305031108.543737	1305031108.535800
192	1305031108.567154	1305031108.575414	1305031108.565800
193	1305031108.603547	1305031108.611407	1305031108.605700
194	1305031108.634212	1305031108.643303	1305031108.635800
195	1305031108.667189	1305031108.675375	1305031108.665700
196	1305031108.703346	1305031108.711411	1305031108.705700
197	1305031108.735052	1305031108.743502	1305031108.735900
198	1305031108.767031	1305031108.775493	1305031108.765700
199	1305031108.803370	1305031108.811244	1305031108.805700
200	1305031108.835163	1305031108.843264	1305031108.835700
201	1305031108.867534	1305031108.876515	1305031108.835700
202	1305031108.903540	1305031108.911364	1305031108.945800
203	1305031108.935116	1305031108.943243	1305031108.945800
204	1305031108.967245	1305031108.975268	1305031108.965800
205	1305031109.003064	1305031109.011269	1305031109.005700
206	1305031109.034955	1305031109.043277	1305031109.035800
207	1305031109.067091	1305031109.075410	1305031109.065800
208	1305031109.103294	1305031109.111282	1305031109.105700
209	1305031109.134968	1305031109.143334	1305031109.135800
210	1305031109.165848	1305031109.175464	1305031109.165700
211	1305031109.203388	1305031109.211379	1305031109.205700
212	1305031109.234324	1305031109.243290	1305031109.235700
213	1305031109.266325	1305031109.275308	1305031109.265700
214	1305031109.303457	1305031109.311329	1305031109.305700
215	1305031109.334602	1305031109.343248	1305031109.335800
216	1305031109.364882	1305031109.375397	1305031109.365800
217	1305031109.403386	1305031109.411329	1305031109.405700
218	1305031109.434469	1305031109.443302	1305031109.435800
219	1305031109.467362	1305031109.475363	1305031109.465800
220	1305031109.503193	1305031109.511273	1305031109.505700
221	1305031109.535715	1305031109.543294	1305031109.535700
222	1305031109.567452	1305031109.575362	1305031109.565700
223	1305031109.603601	1305031109.611310	1305031109.605700
224	1305031109.635323	1305031109.643229	1305031109.635700
225	1305031109.667570	1305031109.675263	1305031109.665700
226	1305031109.703265	1305031109.711312	1305031109.705700
227	1305031109.735059	1305031109.743274	1305031109.735800
228	1305031109.767470	1305031109.775277	1305031109.765700
229	1305031109.803396	1305031109.811371	1305031109.805700
230	1305031109.834910	1305031109.843296	1305031109.835800
231	1305031109.871271	1305031109.875306	1305031109.875800
232	1305031109.900535	1305031109.911265	1305031109.895700
233	1305031109.934960	1305031109.943299	1305031109.935800
234	1305031109.970213	1305031109.975258	1305031109.965800
235	1305031109.999657	1305031110.011256	1305031109.995700
236	1305031110.031356	1305031110.043299	1305031110.035700
237	1305031110.068125	1305031110.075319	1305031110.065700
238	1305031110.101397	1305031110.111325	1305031110.105700
239	1305031110.132317	1305031110.143432	1305031110.135700
240	1305031110.168323	1305031110.175641	1305031110.165700
241	1305031110.203162	1305031110.211637	1305031110.205700
242	1305031110.234909	1305031110.243323	1305031110.235700
243	1305031110.271394	1305031110.279321	1305031110.275700
244	1305031110.303648	1305031110.311404	1305031110.305700
245	1305031110.331570	1305031110.343355	1305031110.335800
246	1305031110.371607	1305031110.379281	1305031110.375700
247	1305031110.403480	1305031110.411469	1305031110.405700
248	1305031110.435647	1305031110.443260	1305031110.435700
249	1305031110.470588	1305031110.479331	1305031110.465800
250	1305031110.502539	1305031110.511429	1305031110.505700
251	1305031110.534532	1305031110.543408	1305031110.535700
252	1305031110.571676	1305031110.579426	1305031110.575700
253	1305031110.604289	1305031110.611307	1305031110.605700
254	1305031110.635485	1305031110.643418	1305031110.635700
255	1305031110.671775	1305031110.679606	1305031110.675700
256	1305031110.699957	1305031110.711412	1305031110.695700
257	1305031110.735440	1305031110.743249	1305031110.735700
258	1305031110.769734	1305031110.779193	1305031110.765800
259	1305031110.799684	1305031110.811386	1305031110.795700
260	1305031110.835248	1305031110.843218	1305031110.835700
261	1305031110.871293	1305031110.879313	1305031110.875700
262	1305031110.901900	1305031110.911333	1305031110.905800
263	1305031110.938668	1305031110.943862	1305031110.935700
264	1305031110.971316	1305031110.979345	1305031110.975700
265	1305031111.003669	1305031111.011431	1305031111.005700
266	1305031111.039669	1305031111.043327	1305031111.035700
267	1305031111.071605	1305031111.079283	1305031111.075700
268	1305031111.103658	1305031111.111508	1305031111.105700
269	1305031111.139211	1305031111.143257	1305031111.135700
270	1305031111.170937	1305031111.179326	1305031111.175700
271	1305031111.199395	1305031111.211433	1305031111.196000
272	1305031111.236670	1305031111.243236	1305031111.235800
273	1305031111.269939	1305031111.279308	1305031111.265700
274	1305031111.302311	1305031111.311547	1305031111.305700
275	1305031111.339460	1305031111.343397	1305031111.335700
276	1305031111.370908	1305031111.379134	1305031111.375700
277	1305031111.402911	1305031111.411296	1305031111.405700
278	1305031111.438948	1305031111.443386	1305031111.435700
279	1305031111.470919	1305031111.479259	1305031111.476000
280	1305031111.503531	1305031111.511264	1305031111.505700
281	1305031111.539482	1305031111.543250	1305031111.535700
282	1305031111.571320	1305031111.579237	1305031111.575800
283	1305031111.603391	1305031111.611271	1305031111.605700
284	1305031111.639405	1305031111.643395	1305031111.635700
285	1305031111.671252	1305031111.679320	1305031111.675700
286	1305031111.703791	1305031111.711760	1305031111.706000
287	1305031111.739504	1305031111.743386	1305031111.735700
288	1305031111.771228	1305031111.779423	1305031111.775700
289	1305031111.800077	1305031111.811406	1305031111.795800
290	1305031111.839333	1305031111.843299	1305031111.835700
291	1305031111.870985	1305031111.879442	1305031111.875700
292	1305031111.903356	1305031111.911354	1305031111.905700
293	1305031111.939680	1305031111.943300	1305031111.935700
294	1305031111.971494	1305031111.979449	1305031111.975800
295	1305031112.003596	1305031112.011433	1305031112.005700
296	1305031112.039412	1305031112.043270	1305031112.035700
297	1305031112.070731	1305031112.079339	1305031112.075700
298	1305031112.102495	1305031112.111423	1305031112.105800
299	1305031112.139107	1305031112.144342	1305031112.135700
300	1305031112.169345	1305031112.179390	1305031112.165700
301	1305031112.207733	1305031112.211254	1305031112.205800
302	1305031112.235657	1305031112.243369	1305031112.235800
303	1305031112.269488	1305031112.279353	1305031112.265700
304	1305031112.303591	1305031112.311312	1305031112.305700
305	1305031112.335789	1305031112.343323	1305031112.335800
306	1305031112.371231	1305031112.379360	1305031112.375700
307	1305031112.407491	1305031112.411442	1305031112.405700
308	1305031112.439064	1305031112.443391	1305031112.435700
309	1305031112.471066	1305031112.479418	1305031112.475700
310	1305031112.506669	1305031112.511504	1305031112.505700
311	1305031112.538310	1305031112.543212	1305031112.535700
312	1305031112.567470	1305031112.579252	1305031112.565700
313	1305031112.606742	1305031112.611261	1305031112.605700
314	1305031112.639418	1305031112.643246	1305031112.635900
315	1305031112.671325	1305031112.679952	1305031112.675800
316	1305031112.707325	1305031112.711251	1305031112.705700
317	1305031112.739546	1305031112.743245	1305031112.735700
318	1305031112.771523	1305031112.779310	1305031112.775700
319	1305031112.807539	1305031112.811310	1305031112.806300
320	1305031112.839560	1305031112.843286	1305031112.835700
321	1305031112.871083	1305031112.879421	1305031112.875700
322	1305031112.907246	1305031112.911411	1305031112.905800
323	1305031112.939323	1305031112.943321	1305031112.935700
324	1305031112.971164	1305031112.979278	1305031112.975700
325	1305031113.007166	1305031113.011353	1305031113.005700
326	1305031113.039492	1305031113.043231	1305031113.035700
327	1305031113.071210	1305031113.079251	1305031113.075700
328	1305031113.107662	1305031113.111316	1305031113.105700
329	1305031113.139664	1305031113.143306	1305031113.135700
330	1305031113.171088	1305031113.179343	1305031113.175700
331	1305031113.207181	1305031113.211259	1305031113.205700
332	1305031113.239732	1305031113.243227	1305031113.235700
333	1305031113.271470	1305031113.279312	1305031113.275700
334	1305031113.307323	1305031113.311452	1305031113.305800
335	1305031113.339396	1305031113.343252	1305031113.335700
336	1305031113.371377	1305031113.379312	1305031113.375700
337	1305031113.407351	1305031113.411625	1305031113.405800
338	1305031113.439787	1305031113.443266	1305031113.435800
339	1305031113.475657	1305031113.479311	1305031113.475700
340	1305031113.507987	1305031113.511523	1305031113.505700
341	1305031113.539417	1305031113.543242	1305031113.535700
342	1305031113.574964	1305031113.579301	1305031113.575700
343	1305031113.607216	1305031113.611268	1305031113.605700
344	1305031113.638418	1305031113.643222	1305031113.635700
345	1305031113.674244	1305031113.679288	1305031113.675700
346	1305031113.704256	1305031113.711931	1305031113.705600
347	1305031113.736263	1305031113.743590	1305031113.735700
348	1305031113.774168	1305031113.779320	1305031113.775700
349	1305031113.805795	1305031113.811237	1305031113.805700
350	1305031113.838437	1305031113.843295	1305031113.835700
351	1305031113.874200	1305031113.879281	1305031113.875700
352	1305031113.906361	1305031113.911290	1305031113.905700
353	1305031113.938561	1305031113.943291	1305031113.935700
354	1305031113.974245	1305031113.979293	1305031113.975700
355	1305031114.007082	1305031114.011257	1305031114.005800
356	1305031114.038546	1305031114.043301	1305031114.035700
357	1305031114.074298	1305031114.079285	1305031114.075700
358	1305031114.106402	1305031114.111263	1305031114.105700
359	1305031114.138562	1305031114.143284	1305031114.135700
360	1305031114.174114	1305031114.179337	1305031114.175700
361	1305031114.206255	1305031114.211303	1305031114.205700
362	1305031114.238473	1305031114.243337	1305031114.235700
363	1305031114.271075	1305031114.279390	1305031114.275700
364	1305031114.306710	1305031114.311429	1305031114.305700
365	1305031114.338919	1305031114.343331	1305031114.335700
366	1305031114.374307	1305031114.379320	1305031114.375700
367	1305031114.406591	1305031114.411397	1305031114.405700
368	1305031114.438540	1305031114.443345	1305031114.435700
369	1305031114.474489	1305031114.479332	1305031114.475700
370	1305031114.506573	1305031114.511266	1305031114.505600
371	1305031114.539953	1305031114.543236	1305031114.535600
372	1305031114.575185	1305031114.579237	1305031114.575600
373	1305031114.607560	1305031114.611391	1305031114.606000
374	1305031114.644150	1305031114.644136	1305031114.645600
375	1305031114.675655	1305031114.679251	1305031114.675700
376	1305031114.706141	1305031114.711306	1305031114.705700
377	1305031114.743276	1305031114.743200	1305031114.745700
378	1305031114.774847	1305031114.779289	1305031114.775700
379	1305031114.807310	1305031114.811303	1305031114.805700
380	1305031114.842137	1305031114.843208	1305031114.845700
381	1305031114.875056	1305031114.879281	1305031114.875700
382	1305031114.907504	1305031114.912879	1305031114.905700
383	1305031114.943264	1305031114.943234	1305031114.945600
384	1305031114.975411	1305031114.979280	1305031114.975700
385	1305031115.007179	1305031115.011300	1305031115.005700
386	1305031115.043530	1305031115.043508	1305031115.045700
387	1305031115.071577	1305031115.079238	1305031115.075600
388	1305031115.107074	1305031115.111230	1305031115.105700
389	1305031115.143294	1305031115.143275	1305031115.145700
390	1305031115.172642	1305031115.179440	1305031115.175600
391	1305031115.206453	1305031115.211374	1305031115.205700
392	1305031115.240975	1305031115.243297	1305031115.245700
393	1305031115.273468	1305031115.279966	1305031115.275700
394	1305031115.305534	1305031115.311704	1305031115.305600
395	1305031115.343426	1305031115.343235	1305031115.345600
396	1305031115.375054	1305031115.379166	1305031115.375700
397	1305031115.406164	1305031115.411237	1305031115.405700
398	1305031115.443040	1305031115.443159	1305031115.445700
399	1305031115.474863	1305031115.479241	1305031115.475600
400	1305031115.507440	1305031115.511253	1305031115.505700
401	1305031115.543620	1305031115.543604	1305031115.545700
402	1305031115.575290	1305031115.579315	1305031115.575700
403	1305031115.607428	1305031115.611424	1305031115.605700
404	1305031115.643254	1305031115.643254	1305031115.645700
405	1305031115.675106	1305031115.679241	1305031115.675700
406	1305031115.706301	1305031115.711320	1305031115.705600
407	1305031115.742905	1305031115.743250	1305031115.745700
408	1305031115.774329	1305031115.779425	1305031115.775700
409	1305031115.806425	1305031115.811277	1305031115.805600
410	1305031115.841936	1305031115.843224	1305031115.845700
411	1305031115.875347	1305031115.879198	1305031115.875600
412	1305031115.910716	1305031115.911118	1305031115.915600
413	1305031115.942015	1305031115.943311	1305031115.945700
414	1305031115.973799	1305031115.980740	1305031115.975700
415	1305031116.010843	1305031116.011379	1305031116.015600
416	1305031116.042618	1305031116.043164	1305031116.045700
417	1305031116.071527	1305031116.080030	1305031116.075700
418	1305031116.108247	1305031116.111300	1305031116.105700
419	1305031116.143447	1305031116.143441	1305031116.145700
420	1305031116.174891	1305031116.179572	1305031116.175700
421	1305031116.211320	1305031116.211299	1305031116.215700
422	1305031116.242720	1305031116.243320	1305031116.245700
423	1305031116.274421	1305031116.279385	1305031116.275700
424	1305031116.310686	1305031116.311336	1305031116.315600
425	1305031116.342459	1305031116.343292	1305031116.345700
426	1305031116.374490	1305031116.379384	1305031116.375700
427	1305031116.409631	1305031116.411333	1305031116.405700
428	1305031116.442496	1305031116.443369	1305031116.445600
429	1305031116.473394	1305031116.479850	1305031116.475700
430	1305031116.510576	1305031116.511205	1305031116.505700
431	1305031116.542695	1305031116.543262	1305031116.545600
432	1305031116.574389	1305031116.579313	1305031116.575700
433	1305031116.610891	1305031116.611261	1305031116.615700
434	1305031116.642664	1305031116.643355	1305031116.645700
435	1305031116.674523	1305031116.679281	1305031116.675600
436	1305031116.710942	1305031116.711634	1305031116.715700
437	1305031116.740575	1305031116.743291	1305031116.736200
438	1305031116.775059	1305031116.779298	1305031116.775700
439	1305031116.811343	1305031116.811318	1305031116.815600
440	1305031116.840370	1305031116.846089	1305031116.835700
441	1305031116.871726	1305031116.880165	1305031116.875700
442	1305031116.907955	1305031116.912044	1305031116.905700
443	1305031116.940626	1305031116.943296	1305031116.935700
444	1305031116.974656	1305031116.979351	1305031116.975600
445	1305031117.008812	1305031117.011382	1305031117.005700
446	1305031117.042065	1305031117.043261	1305031117.045700
447	1305031117.071181	1305031117.079520	1305031117.075700
448	1305031117.110454	1305031117.111238	1305031117.105700
449	1305031117.142383	1305031117.143218	1305031117.145700
450	1305031117.175059	1305031117.179264	1305031117.175600
451	1305031117.207753	1305031117.211361	1305031117.205700
452	1305031117.241340	1305031117.243277	1305031117.245600
453	1305031117.276516	1305031117.279299	1305031117.275600
454	1305031117.310121	1305031117.311200	1305031117.305700
455	1305031117.341044	1305031117.343243	1305031117.345700
456	1305031117.375067	1305031117.379454	1305031117.375700
457	1305031117.408538	1305031117.411221	1305031117.405600
458	1305031117.442208	1305031117.443274	1305031117.445600
459	1305031117.475651	1305031117.479403	1305031117.475700
460	1305031117.508882	1305031117.511325	1305031117.505700
461	1305031117.539736	1305031117.544285	1305031117.536100
462	1305031117.577860	1305031117.579155	1305031117.575700
463	1305031117.607777	1305031117.611159	1305031117.605700
464	1305031117.643284	1305031117.643252	1305031117.645700
465	1305031117.675483	1305031117.679262	1305031117.675600
466	1305031117.711215	1305031117.711184	1305031117.715600
467	1305031117.742995	1305031117.743184	1305031117.745700
468	1305031117.778969	1305031117.779467	1305031117.775700
469	1305031117.811060	1305031117.811320	1305031117.815600
470	1305031117.843307	1305031117.843291	1305031117.845700
471	1305031117.879467	1305031117.879451	1305031117.875700
472	1305031117.908762	1305031117.911407	1305031117.905700
473	1305031117.943272	1305031117.943253	1305031117.945600
474	1305031117.979263	1305031117.979228	1305031117.975600
475	1305031118.011013	1305031118.011228	1305031118.015700
476	1305031118.043549	1305031118.043521	1305031118.045700
477	1305031118.079369	1305031118.079334	1305031118.075700
478	1305031118.110863	1305031118.111217	1305031118.115600
479	1305031118.142285	1305031118.143256	1305031118.145700
480	1305031118.178170	1305031118.179323	1305031118.175600
481	1305031118.210782	1305031118.211202	1305031118.215600
482	1305031118.242948	1305031118.243173	1305031118.245600
483	1305031118.278991	1305031118.279194	1305031118.275700
484	1305031118.310731	1305031118.311299	1305031118.315600
485	1305031118.342079	1305031118.343324	1305031118.345700
486	1305031118.377003	1305031118.379208	1305031118.375600
487	1305031118.408818	1305031118.411296	1305031118.405600
488	1305031118.445703	1305031118.445692	1305031118.445700
489	1305031118.477869	1305031118.479285	1305031118.475700
490	1305031118.510201	1305031118.511255	1305031118.505600
491	1305031118.545199	1305031118.544414	1305031118.545600
492	1305031118.576377	1305031118.579285	1305031118.575600
493	1305031118.610869	1305031118.616142	1305031118.615600
494	1305031118.645331	1305031118.645325	1305031118.645600
495	1305031118.675082	1305031118.679295	1305031118.675600
496	1305031118.710140	1305031118.711421	1305031118.705600
497	1305031118.746801	1305031118.746770	1305031118.745600
498	1305031118.778790	1305031118.779277	1305031118.775600
499	1305031118.810703	1305031118.811221	1305031118.815600
500	1305031118.846774	1305031118.846753	1305031118.845600
501	1305031118.875402	1305031118.879208	1305031118.875600
502	1305031118.909608	1305031118.911177	1305031118.905700
503	1305031118.947009	1305031118.946974	1305031118.945600
504	1305031118.979394	1305031118.979374	1305031118.975600
505	1305031119.009712	1305031119.011363	1305031119.005600
506	1305031119.047180	1305031119.047172	1305031119.045600
507	1305031119.078966	1305031119.079223	1305031119.075700
508	1305031119.110884	1305031119.111328	1305031119.115600
509	1305031119.147629	1305031119.147616	1305031119.145700
510	1305031119.179262	1305031119.179226	1305031119.175700
511	1305031119.210906	1305031119.211364	1305031119.215600
512	1305031119.247660	1305031119.247399	1305031119.245700
513	1305031119.279244	1305031119.279212	1305031119.275600
514	1305031119.310755	1305031119.311212	1305031119.315600
515	1305031119.347750	1305031119.347741	1305031119.345700
516	1305031119.378631	1305031119.379239	1305031119.375600
517	1305031119.411492	1305031119.411484	1305031119.415600
518	1305031119.447726	1305031119.447706	1305031119.445600
519	1305031119.477682	1305031119.479267	1305031119.475600
520	1305031119.511258	1305031119.511240	1305031119.515700
521	1305031119.547414	1305031119.547382	1305031119.545600
522	1305031119.579569	1305031119.579559	1305031119.575600
523	1305031119.615024	1305031119.615017	1305031119.615600
524	1305031119.648889	1305031119.647903	1305031119.645600
525	1305031119.675566	1305031119.679208	1305031119.675600
526	1305031119.715249	1305031119.715232	1305031119.715700
527	1305031119.744886	1305031119.747193	1305031119.745700
528	1305031119.778628	1305031119.779169	1305031119.775600
529	1305031119.814571	1305031119.814537	1305031119.815600
530	1305031119.847445	1305031119.847429	1305031119.845600
531	1305031119.879232	1305031119.879214	1305031119.875700
532	1305031119.911424	1305031119.911401	1305031119.915500
533	1305031119.947462	1305031119.947392	1305031119.945600
534	1305031119.979546	1305031119.979537	1305031119.975600
535	1305031120.015283	1305031120.015264	1305031120.015600
536	1305031120.047310	1305031120.047290	1305031120.045600
