N	depth	rgb	gt
61	1311878196.365191	1311878196.306228	1311878196.363700
62	1311878196.394977	1311878196.338204	1311878196.393600
63	1311878196.426386	1311878196.375281	1311878196.426900
64	1311878196.463731	1311878196.406342	1311878196.463500
65	1311878196.495481	1311878196.438533	1311878196.496900
66	1311878196.526093	1311878196.474320	1311878196.526900
67	1311878196.563869	1311878196.506414	1311878196.563400
68	1311878196.594759	1311878196.538251	1311878196.593300
69	1311878196.626973	1311878196.575066	1311878196.626800
70	1311878196.663865	1311878196.606211	1311878196.663600
71	1311878196.694636	1311878196.638325	1311878196.693300
72	1311878196.732904	1311878196.674182	1311878196.733300
73	1311878196.763266	1311878196.706269	1311878196.763300
74	1311878196.794288	1311878196.738692	1311878196.793200
75	1311878196.830506	1311878196.774138	1311878196.830300
76	1311878196.863118	1311878196.806328	1311878196.866000
77	1311878196.894985	1311878196.838398	1311878196.893400
78	1311878196.931301	1311878196.874222	1311878196.930100
79	1311878196.962315	1311878196.906132	1311878196.963600
80	1311878196.994622	1311878196.938143	1311878196.993400
81	1311878197.030180	1311878196.974342	1311878197.030100
82	1311878197.062073	1311878197.006229	1311878197.063300
83	1311878197.095151	1311878197.038157	1311878197.097000
84	1311878197.131350	1311878197.074170	1311878197.130000
85	1311878197.162445	1311878197.106340	1311878197.163300
86	1311878197.196413	1311878197.138417	1311878197.196900
87	1311878197.231313	1311878197.174156	1311878197.229900
88	1311878197.262133	1311878197.206149	1311878197.263200
89	1311878197.293925	1311878197.238433	1311878197.293300
90	1311878197.330589	1311878197.274108	1311878197.330000
91	1311878197.363305	1311878197.306065	1311878197.363600
92	1311878197.394105	1311878197.338164	1311878197.393400
93	1311878197.430801	1311878197.373957	1311878197.430000
94	1311878197.462628	1311878197.406878	1311878197.463600
95	1311878197.494250	1311878197.438201	1311878197.493400
96	1311878197.529952	1311878197.474238	1311878197.529900
97	1311878197.562710	1311878197.506176	1311878197.563400
98	1311878197.595152	1311878197.538448	1311878197.596800
99	1311878197.632011	1311878197.574811	1311878197.633300
100	1311878197.662786	1311878197.606070	1311878197.663400
101	1311878197.694001	1311878197.638206	1311878197.693200
102	1311878197.730804	1311878197.674071	1311878197.730100
103	1311878197.761950	1311878197.706190	1311878197.763400
104	1311878197.794095	1311878197.738523	1311878197.793300
105	1311878197.830043	1311878197.774050	1311878197.830100
106	1311878197.862106	1311878197.806087	1311878197.863500
107	1311878197.896164	1311878197.838274	1311878197.896700
108	1311878197.932032	1311878197.874322	1311878197.933600
109	1311878197.961954	1311878197.906486	1311878197.961100
110	1311878198.000989	1311878197.938271	1311878198.000200
111	1311878198.029994	1311878197.974019	1311878198.030200
112	1311878198.062043	1311878198.006153	1311878198.063800
113	1311878198.099249	1311878198.038635	1311878198.100000
114	1311878198.129880	1311878198.074031	1311878198.130500
115	1311878198.163229	1311878198.106322	1311878198.163400
116	1311878198.198469	1311878198.138386	1311878198.200000
117	1311878198.229862	1311878198.174366	1311878198.230100
118	1311878198.263023	1311878198.206660	1311878198.263600
119	1311878198.299498	1311878198.238497	1311878198.300000
120	1311878198.330328	1311878198.274149	1311878198.330000
121	1311878198.362220	1311878198.306371	1311878198.363500
122	1311878198.397786	1311878198.338540	1311878198.396700
123	1311878198.430432	1311878198.373959	1311878198.429900
124	1311878198.462681	1311878198.406170	1311878198.463300
125	1311878198.499218	1311878198.438262	1311878198.499900
126	1311878198.530340	1311878198.474218	1311878198.530000
127	1311878198.562492	1311878198.506218	1311878198.563400
128	1311878198.598241	1311878198.538311	1311878198.596800
129	1311878198.630457	1311878198.574543	1311878198.630200
130	1311878198.662002	1311878198.606319	1311878198.660000
131	1311878198.699543	1311878198.638628	1311878198.700300
132	1311878198.729875	1311878198.674049	1311878198.729900
133	1311878198.762650	1311878198.707316	1311878198.763300
134	1311878198.797852	1311878198.738725	1311878198.796700
135	1311878198.830037	1311878198.774061	1311878198.830100
136	1311878198.862615	1311878198.806248	1311878198.863300
137	1311878198.898057	1311878198.838460	1311878198.896700
138	1311878198.929795	1311878198.874237	1311878198.930000
139	1311878198.961889	1311878198.905987	1311878198.963300
140	1311878198.999155	1311878198.938208	1311878199.000100
141	1311878199.029670	1311878198.974165	1311878199.030100
142	1311878199.062146	1311878199.006161	1311878199.063400
143	1311878199.097533	1311878199.038251	1311878199.096500
144	1311878199.130313	1311878199.074228	1311878199.130200
145	1311878199.161917	1311878199.106422	1311878199.163400
146	1311878199.197846	1311878199.138235	1311878199.196700
147	1311878199.230695	1311878199.174805	1311878199.229800
148	1311878199.265628	1311878199.207173	1311878199.266700
149	1311878199.298465	1311878199.238266	1311878199.297200
150	1311878199.330424	1311878199.275876	1311878199.329800
151	1311878199.366333	1311878199.306226	1311878199.366800
152	1311878199.398346	1311878199.338154	1311878199.397100
153	1311878199.431224	1311878199.374050	1311878199.430200
154	1311878199.465844	1311878199.406276	1311878199.466500
155	1311878199.497866	1311878199.438010	1311878199.496600
156	1311878199.529993	1311878199.474152	1311878199.529900
157	1311878199.565636	1311878199.506248	1311878199.566700
158	1311878199.598235	1311878199.538271	1311878199.596700
159	1311878199.629983	1311878199.574176	1311878199.630000
160	1311878199.665687	1311878199.606309	1311878199.666600
161	1311878199.698693	1311878199.638106	1311878199.699900
162	1311878199.730476	1311878199.674155	1311878199.730000
163	1311878199.765877	1311878199.706001	1311878199.766400
164	1311878199.798064	1311878199.738017	1311878199.796700
165	1311878199.830114	1311878199.775401	1311878199.830200
166	1311878199.866064	1311878199.806250	1311878199.866800
167	1311878199.898092	1311878199.838004	1311878199.896800
168	1311878199.929760	1311878199.874440	1311878199.929800
169	1311878199.965905	1311878199.906103	1311878199.966700
170	1311878199.998073	1311878199.938266	1311878199.996600
171	1311878200.030176	1311878199.974272	1311878200.030000
172	1311878200.065840	1311878200.006189	1311878200.066600
173	1311878200.098313	1311878200.038184	1311878200.099900
174	1311878200.130089	1311878200.074132	1311878200.130000
175	1311878200.167002	1311878200.106321	1311878200.166700
176	1311878200.199017	1311878200.138348	1311878200.199900
177	1311878200.231422	1311878200.173964	1311878200.229900
178	1311878200.266068	1311878200.206327	1311878200.266700
179	1311878200.298340	1311878200.242002	1311878200.296700
180	1311878200.330344	1311878200.274169	1311878200.329800
181	1311878200.368863	1311878200.306230	1311878200.370000
182	1311878200.398428	1311878200.342066	1311878200.399900
183	1311878200.434191	1311878200.374151	1311878200.433200
184	1311878200.466346	1311878200.406487	1311878200.466700
185	1311878200.498635	1311878200.442312	1311878200.500000
186	1311878200.536074	1311878200.474507	1311878200.536500
187	1311878200.566278	1311878200.506740	1311878200.566600
188	1311878200.598405	1311878200.544672	1311878200.600000
189	1311878200.635101	1311878200.574557	1311878200.636700
190	1311878200.667358	1311878200.606124	1311878200.666500
191	1311878200.698529	1311878200.642380	1311878200.700000
192	1311878200.734406	1311878200.674795	1311878200.733400
193	1311878200.766227	1311878200.706045	1311878200.766700
194	1311878200.798358	1311878200.742351	1311878200.799800
195	1311878200.835064	1311878200.774100	1311878200.836400
196	1311878200.867210	1311878200.806161	1311878200.867800
197	1311878200.899246	1311878200.842140	1311878200.899900
198	1311878200.934718	1311878200.874186	1311878200.933300
199	1311878200.968052	1311878200.907425	1311878200.966400
200	1311878200.999570	1311878200.942493	1311878201.000000
201	1311878201.035233	1311878200.974314	1311878201.036500
202	1311878201.066766	1311878201.007926	1311878201.066600
203	1311878201.099427	1311878201.042338	1311878201.099100
204	1311878201.134620	1311878201.074135	1311878201.133100
205	1311878201.166758	1311878201.106946	1311878201.166500
206	1311878201.199011	1311878201.142269	1311878201.200000
207	1311878201.235659	1311878201.174037	1311878201.236500
208	1311878201.266359	1311878201.206851	1311878201.266700
209	1311878201.298402	1311878201.242552	1311878201.299900
210	1311878201.336659	1311878201.274041	1311878201.336600
211	1311878201.366513	1311878201.306315	1311878201.366600
212	1311878201.398950	1311878201.342130	1311878201.400000
213	1311878201.434368	1311878201.374078	1311878201.433500
214	1311878201.466487	1311878201.406381	1311878201.466500
215	1311878201.500473	1311878201.442332	1311878201.499900
216	1311878201.534530	1311878201.474243	1311878201.533200
217	1311878201.567670	1311878201.506263	1311878201.566600
218	1311878201.599712	1311878201.542159	1311878201.599900
219	1311878201.637284	1311878201.574598	1311878201.636500
220	1311878201.666248	1311878201.606014	1311878201.666500
221	1311878201.702225	1311878201.642096	1311878201.703300
222	1311878201.734551	1311878201.674092	1311878201.733200
223	1311878201.766411	1311878201.708205	1311878201.766600
224	1311878201.804182	1311878201.742188	1311878201.803300
225	1311878201.834891	1311878201.774384	1311878201.833200
226	1311878201.866902	1311878201.806059	1311878201.866900
227	1311878201.902366	1311878201.842070	1311878201.903300
228	1311878201.934876	1311878201.873911	1311878201.933500
229	1311878201.966367	1311878201.906078	1311878201.966500
230	1311878202.002476	1311878201.944113	1311878202.003400
231	1311878202.034083	1311878201.975026	1311878202.033300
232	1311878202.066733	1311878202.006238	1311878202.066600
233	1311878202.103529	1311878202.042289	1311878202.103300
234	1311878202.134750	1311878202.074246	1311878202.133200
235	1311878202.166847	1311878202.106190	1311878202.166700
236	1311878202.204344	1311878202.142538	1311878202.203300
237	1311878202.234317	1311878202.174269	1311878202.233200
238	1311878202.269973	1311878202.206055	1311878202.269900
239	1311878202.302356	1311878202.242099	1311878202.303200
240	1311878202.334355	1311878202.274419	1311878202.333200
241	1311878202.366089	1311878202.306286	1311878202.366600
242	1311878202.402955	1311878202.342174	1311878202.403100
243	1311878202.434908	1311878202.374111	1311878202.433300
244	1311878202.467250	1311878202.406054	1311878202.466600
245	1311878202.502225	1311878202.442042	1311878202.503200
246	1311878202.533854	1311878202.474733	1311878202.533400
247	1311878202.566422	1311878202.506062	1311878202.566400
248	1311878202.603568	1311878202.541995	1311878202.603100
249	1311878202.634680	1311878202.574243	1311878202.633200
250	1311878202.666456	1311878202.606016	1311878202.666700
251	1311878202.701575	1311878202.642195	1311878202.703200
252	1311878202.734435	1311878202.674125	1311878202.733200
253	1311878202.768364	1311878202.705989	1311878202.769700
254	1311878202.802526	1311878202.742139	1311878202.803200
255	1311878202.833846	1311878202.774116	1311878202.833300
256	1311878202.865921	1311878202.806033	1311878202.866600
257	1311878202.903446	1311878202.842065	1311878202.903200
258	1311878202.933911	1311878202.875331	1311878202.933200
259	1311878202.969768	1311878202.906074	1311878202.969700
260	1311878203.002027	1311878202.942067	1311878203.003100
261	1311878203.034124	1311878202.973958	1311878203.033100
262	1311878203.069847	1311878203.006251	1311878203.069800
263	1311878203.102237	1311878203.042060	1311878203.103100
264	1311878203.134534	1311878203.074065	1311878203.133200
265	1311878203.169913	1311878203.106633	1311878203.169900
266	1311878203.204276	1311878203.142803	1311878203.203200
267	1311878203.233625	1311878203.174238	1311878203.233200
268	1311878203.271837	1311878203.206098	1311878203.273100
269	1311878203.301427	1311878203.242220	1311878203.300700
270	1311878203.333960	1311878203.273968	1311878203.333200
271	1311878203.369721	1311878203.306276	1311878203.369900
272	1311878203.402052	1311878203.342073	1311878203.403100
273	1311878203.433924	1311878203.374071	1311878203.433200
274	1311878203.469971	1311878203.406354	1311878203.469900
275	1311878203.501971	1311878203.442198	1311878203.503200
276	1311878203.533569	1311878203.474247	1311878203.533300
277	1311878203.569564	1311878203.505994	1311878203.569800
278	1311878203.601574	1311878203.542092	1311878203.603000
279	1311878203.634674	1311878203.574198	1311878203.633300
280	1311878203.669606	1311878203.606251	1311878203.669800
281	1311878203.703154	1311878203.642340	1311878203.703100
282	1311878203.733906	1311878203.673979	1311878203.733000
283	1311878203.769692	1311878203.706026	1311878203.769600
284	1311878203.802296	1311878203.742438	1311878203.803200
285	1311878203.833954	1311878203.774002	1311878203.833100
286	1311878203.870876	1311878203.805973	1311878203.870100
287	1311878203.901839	1311878203.841862	1311878203.903200
288	1311878203.935846	1311878203.875365	1311878203.936500
289	1311878203.969753	1311878203.906100	1311878203.970000
290	1311878204.002698	1311878203.943005	1311878204.003600
291	1311878204.033962	1311878203.973857	1311878204.033200
292	1311878204.071139	1311878204.005977	1311878204.069800
293	1311878204.102202	1311878204.041993	1311878204.103300
294	1311878204.138193	1311878204.073949	1311878204.136600
295	1311878204.169936	1311878204.106130	1311878204.169900
296	1311878204.202867	1311878204.141982	1311878204.203100
297	1311878204.238436	1311878204.173937	1311878204.239700
298	1311878204.269671	1311878204.205872	1311878204.270000
299	1311878204.301566	1311878204.241957	1311878204.303100
300	1311878204.339252	1311878204.273915	1311878204.339700
301	1311878204.369856	1311878204.306004	1311878204.369800
302	1311878204.401610	1311878204.341849	1311878204.403200
303	1311878204.438469	1311878204.373845	1311878204.439600
304	1311878204.469943	1311878204.406011	1311878204.469700
305	1311878204.501673	1311878204.441928	1311878204.503100
306	1311878204.540007	1311878204.474041	1311878204.539800
307	1311878204.570218	1311878204.506315	1311878204.569700
308	1311878204.601879	1311878204.542053	1311878204.603100
309	1311878204.638029	1311878204.573878	1311878204.636400
310	1311878204.670448	1311878204.606140	1311878204.669700
311	1311878204.702566	1311878204.642074	1311878204.703100
312	1311878204.738536	1311878204.673973	1311878204.739700
313	1311878204.771436	1311878204.705931	1311878204.769800
314	1311878204.802037	1311878204.742051	1311878204.803100
315	1311878204.838245	1311878204.773947	1311878204.839800
316	1311878204.870017	1311878204.806110	1311878204.869900
317	1311878204.901842	1311878204.841912	1311878204.903000
318	1311878204.938560	1311878204.873973	1311878204.939900
319	1311878204.969944	1311878204.906126	1311878204.971100
320	1311878205.001985	1311878204.942080	1311878205.003100
321	1311878205.039072	1311878204.973963	1311878205.039700
322	1311878205.070645	1311878205.006151	1311878205.069900
323	1311878205.104054	1311878205.041933	1311878205.103100
324	1311878205.138548	1311878205.073962	1311878205.139500
325	1311878205.170315	1311878205.105855	1311878205.169700
326	1311878205.202300	1311878205.141948	1311878205.203300
327	1311878205.239674	1311878205.173954	1311878205.239600
328	1311878205.270692	1311878205.205991	1311878205.269700
329	1311878205.306283	1311878205.242002	1311878205.306500
330	1311878205.339254	1311878205.273921	1311878205.340000
331	1311878205.370320	1311878205.306204	1311878205.370500
332	1311878205.406319	1311878205.341998	1311878205.406300
333	1311878205.438415	1311878205.373930	1311878205.439800
334	1311878205.471084	1311878205.406303	1311878205.469800
335	1311878205.506396	1311878205.442034	1311878205.506400
336	1311878205.538794	1311878205.473974	1311878205.539700
337	1311878205.570929	1311878205.506390	1311878205.569700
338	1311878205.608190	1311878205.542071	1311878205.609700
339	1311878205.639078	1311878205.574020	1311878205.639700
340	1311878205.670664	1311878205.608181	1311878205.669700
341	1311878205.706291	1311878205.641830	1311878205.706400
342	1311878205.740611	1311878205.673969	1311878205.739700
343	1311878205.771302	1311878205.706275	1311878205.769700
344	1311878205.808994	1311878205.741858	1311878205.809800
345	1311878205.838272	1311878205.773951	1311878205.839700
346	1311878205.870593	1311878205.808989	1311878205.869800
347	1311878205.907468	1311878205.841994	1311878205.906400
348	1311878205.938338	1311878205.874019	1311878205.939700
349	1311878205.972250	1311878205.907346	1311878205.973100
350	1311878206.006406	1311878205.941947	1311878206.006300
351	1311878206.040059	1311878205.974067	1311878206.039800
352	1311878206.070405	1311878206.006333	1311878206.069700
353	1311878206.106163	1311878206.041987	1311878206.106500
354	1311878206.138019	1311878206.073888	1311878206.136400
355	1311878206.170861	1311878206.106154	1311878206.169600
356	1311878206.215331	1311878206.142035	1311878206.216400
357	1311878206.239335	1311878206.173770	1311878206.239800
358	1311878206.270806	1311878206.209247	1311878206.269800
359	1311878206.306847	1311878206.241923	1311878206.306300
360	1311878206.338650	1311878206.273922	1311878206.339600
361	1311878206.371031	1311878206.306840	1311878206.369700
362	1311878206.408388	1311878206.342000	1311878206.409800
363	1311878206.438617	1311878206.373928	1311878206.439600
364	1311878206.470675	1311878206.408370	1311878206.469900
365	1311878206.509119	1311878206.443025	1311878206.509500
366	1311878206.538558	1311878206.474074	1311878206.539900
367	1311878206.570611	1311878206.509106	1311878206.569800
368	1311878206.608193	1311878206.542974	1311878206.609800
369	1311878206.638690	1311878206.574152	1311878206.639800
370	1311878206.678274	1311878206.608181	1311878206.679700
371	1311878206.706778	1311878206.643524	1311878206.707000
372	1311878206.738502	1311878206.678248	1311878206.739700
373	1311878206.779545	1311878206.706723	1311878206.779700
374	1311878206.806564	1311878206.742016	1311878206.806500
375	1311878206.838936	1311878206.775756	1311878206.839700
376	1311878206.878008	1311878206.806557	1311878206.879700
377	1311878206.907159	1311878206.842519	1311878206.906700
378	1311878206.938577	1311878206.877963	1311878206.939700
379	1311878206.978132	1311878206.906723	1311878206.979600
380	1311878207.008156	1311878206.941933	1311878207.009800
381	1311878207.038842	1311878206.978366	1311878207.039800
382	1311878207.076598	1311878207.008265	1311878207.076300
383	1311878207.107720	1311878207.042220	1311878207.106800
384	1311878207.139999	1311878207.076555	1311878207.139900
385	1311878207.176480	1311878207.107441	1311878207.176500
386	1311878207.209256	1311878207.142368	1311878207.209700
387	1311878207.238421	1311878207.176458	1311878207.239700
388	1311878207.275129	1311878207.209246	1311878207.276400
389	1311878207.306871	1311878207.241936	1311878207.306800
390	1311878207.338795	1311878207.275118	1311878207.339700
391	1311878207.376954	1311878207.306859	1311878207.376400
392	1311878207.407832	1311878207.342489	1311878207.406400
393	1311878207.438664	1311878207.376941	1311878207.439500
394	1311878207.475575	1311878207.406744	1311878207.476500
395	1311878207.507181	1311878207.442028	1311878207.506300
396	1311878207.538769	1311878207.475541	1311878207.539800
397	1311878207.575041	1311878207.507174	1311878207.576500
398	1311878207.606973	1311878207.544523	1311878207.606300
399	1311878207.638718	1311878207.575033	1311878207.639700
400	1311878207.674560	1311878207.606578	1311878207.673000
401	1311878207.708395	1311878207.641861	1311878207.709600
402	1311878207.738601	1311878207.674813	1311878207.739500
403	1311878207.775517	1311878207.708313	1311878207.776600
404	1311878207.807662	1311878207.746534	1311878207.806300
405	1311878207.843739	1311878207.775512	1311878207.842800
406	1311878207.877044	1311878207.806360	1311878207.876400
407	1311878207.906327	1311878207.843730	1311878207.906400
408	1311878207.947325	1311878207.876201	1311878207.946500
409	1311878207.975933	1311878207.906310	1311878207.976300
410	1311878208.006376	1311878207.943993	1311878208.006400
411	1311878208.046129	1311878207.975923	1311878208.046300
412	1311878208.074516	1311878208.006370	1311878208.072900
413	1311878208.106496	1311878208.046120	1311878208.106300
414	1311878208.145427	1311878208.074510	1311878208.146200
415	1311878208.174661	1311878208.106489	1311878208.176100
416	1311878208.206769	1311878208.145419	1311878208.206400
417	1311878208.250188	1311878208.174622	1311878208.249600
418	1311878208.274414	1311878208.206761	1311878208.272800
419	1311878208.306923	1311878208.245251	1311878208.306200
420	1311878208.346961	1311878208.274405	1311878208.346400
421	1311878208.377380	1311878208.306352	1311878208.376300
422	1311878208.406526	1311878208.342505	1311878208.406700
423	1311878208.442461	1311878208.375134	1311878208.443000
424	1311878208.474747	1311878208.406517	1311878208.473300
425	1311878208.508489	1311878208.442454	1311878208.510000
426	1311878208.542432	1311878208.474738	1311878208.542800
427	1311878208.574574	1311878208.508484	1311878208.576200
428	1311878208.607027	1311878208.542428	1311878208.606200
429	1311878208.642409	1311878208.574565	1311878208.643000
430	1311878208.675645	1311878208.607020	1311878208.676400
431	1311878208.707688	1311878208.647008	1311878208.706600
432	1311878208.742310	1311878208.675637	1311878208.743000
433	1311878208.774916	1311878208.708205	1311878208.776300
434	1311878208.807636	1311878208.742303	1311878208.806500
435	1311878208.842562	1311878208.774910	1311878208.842800
436	1311878208.874686	1311878208.807627	1311878208.873100
437	1311878208.906630	1311878208.842557	1311878208.906400
438	1311878208.942425	1311878208.874663	1311878208.942900
439	1311878208.975875	1311878208.906621	1311878208.976300
440	1311878209.006520	1311878208.942420	1311878209.006100
441	1311878209.045489	1311878208.975866	1311878209.046300
442	1311878209.074461	1311878209.006512	1311878209.072900
443	1311878209.116657	1311878209.045198	1311878209.116400
444	1311878209.142966	1311878209.074457	1311878209.142800
445	1311878209.174711	1311878209.105912	1311878209.176400
446	1311878209.212243	1311878209.147271	1311878209.213000
447	1311878209.242548	1311878209.174682	1311878209.242900
448	1311878209.274703	1311878209.205844	1311878209.276400
449	1311878209.310453	1311878209.242533	1311878209.309500
450	1311878209.342631	1311878209.274689	1311878209.342900
451	1311878209.375832	1311878209.314053	1311878209.376600
452	1311878209.410921	1311878209.342531	1311878209.409600
453	1311878209.443038	1311878209.377351	1311878209.442900
454	1311878209.475627	1311878209.410848	1311878209.476400
455	1311878209.510457	1311878209.443029	1311878209.509600
456	1311878209.542796	1311878209.475616	1311878209.543000
457	1311878209.574694	1311878209.510446	1311878209.573300
458	1311878209.610674	1311878209.542609	1311878209.609500
459	1311878209.643250	1311878209.574684	1311878209.642900
460	1311878209.674367	1311878209.610662	1311878209.673000
461	1311878209.711828	1311878209.643243	1311878209.713000
462	1311878209.742615	1311878209.674355	1311878209.742900
463	1311878209.774258	1311878209.711947	1311878209.772900
464	1311878209.810748	1311878209.742604	1311878209.809700
465	1311878209.846097	1311878209.774248	1311878209.846100
466	1311878209.874236	1311878209.810498	1311878209.872800
467	1311878209.910404	1311878209.842596	1311878209.909700
468	1311878209.942629	1311878209.874230	1311878209.942700
469	1311878209.974665	1311878209.910397	1311878209.976300
470	1311878210.011191	1311878209.942622	1311878210.012800
471	1311878210.042554	1311878209.974645	1311878210.042800
472	1311878210.078256	1311878210.010438	1311878210.079400
473	1311878210.110450	1311878210.042541	1311878210.109600
474	1311878210.142214	1311878210.074306	1311878210.142900
475	1311878210.174314	1311878210.110443	1311878210.172900
476	1311878210.212870	1311878210.142208	1311878210.213000
477	1311878210.242591	1311878210.174309	1311878210.243900
478	1311878210.274626	1311878210.212859	1311878210.276200
479	1311878210.310606	1311878210.242548	1311878210.309800
480	1311878210.345979	1311878210.274577	1311878210.346200
481	1311878210.380909	1311878210.310598	1311878210.379400
482	1311878210.410620	1311878210.345963	1311878210.409600
483	1311878210.445019	1311878210.373736	1311878210.446200
484	1311878210.480520	1311878210.410604	1311878210.479400
485	1311878210.513264	1311878210.445005	1311878210.513100
486	1311878210.542627	1311878210.473703	1311878210.542800
487	1311878210.579682	1311878210.513259	1311878210.579600
488	1311878210.611050	1311878210.542619	1311878210.609600
489	1311878210.643920	1311878210.573923	1311878210.642900
490	1311878210.680567	1311878210.611041	1311878210.679300
491	1311878210.711980	1311878210.643915	1311878210.712900
492	1311878210.742096	1311878210.673789	1311878210.743000
493	1311878210.780981	1311878210.711975	1311878210.779600
494	1311878210.810467	1311878210.742085	1311878210.809600
495	1311878210.843852	1311878210.773875	1311878210.842800
496	1311878210.881220	1311878210.810359	1311878210.882700
497	1311878210.912022	1311878210.845242	1311878210.912900
498	1311878210.942522	1311878210.873711	1311878210.942800
499	1311878210.979325	1311878210.912014	1311878210.979500
500	1311878211.010324	1311878210.942510	1311878211.009600
501	1311878211.044390	1311878210.973963	1311878211.042900
502	1311878211.078437	1311878211.010316	1311878211.079500
503	1311878211.110785	1311878211.044346	1311878211.109500
504	1311878211.142770	1311878211.073872	1311878211.142800
505	1311878211.178778	1311878211.110659	1311878211.179400
506	1311878211.210543	1311878211.142757	1311878211.209500
507	1311878211.242597	1311878211.173849	1311878211.243100
508	1311878211.278690	1311878211.211868	1311878211.279500
509	1311878211.312308	1311878211.242563	1311878211.312800
510	1311878211.342409	1311878211.273802	1311878211.343000
511	1311878211.379993	1311878211.312296	1311878211.379400
512	1311878211.410536	1311878211.342385	1311878211.409600
513	1311878211.442803	1311878211.373888	1311878211.442900
514	1311878211.480649	1311878211.410528	1311878211.479600
515	1311878211.510543	1311878211.442793	1311878211.509500
516	1311878211.551131	1311878211.473798	1311878211.549500
517	1311878211.580567	1311878211.510484	1311878211.579600
518	1311878211.614192	1311878211.541947	1311878211.613000
519	1311878211.649595	1311878211.573701	1311878211.649600
520	1311878211.681325	1311878211.610406	1311878211.682900
521	1311878211.710955	1311878211.641799	1311878211.709700
522	1311878211.747850	1311878211.673851	1311878211.746200
523	1311878211.779888	1311878211.710950	1311878211.779400
524	1311878211.810328	1311878211.741811	1311878211.809400
525	1311878211.848562	1311878211.773934	1311878211.849500
526	1311878211.880176	1311878211.810307	1311878211.879800
527	1311878211.910817	1311878211.841878	1311878211.909500
528	1311878211.947300	1311878211.873870	1311878211.946100
529	1311878211.979150	1311878211.910785	1311878211.979400
530	1311878212.010613	1311878211.942015	1311878212.009300
531	1311878212.048004	1311878211.973829	1311878212.049500
532	1311878212.080138	1311878212.010605	1311878212.079600
533	1311878212.112395	1311878212.041796	1311878212.112800
534	1311878212.149662	1311878212.073994	1311878212.149600
535	1311878212.180766	1311878212.113665	1311878212.179400
536	1311878212.210472	1311878212.141856	1311878212.209400
