N	depth	rgb	gt
246	1311878202.701575	1311878202.705989	1311878202.703200
247	1311878202.734435	1311878202.742139	1311878202.733200
248	1311878202.768364	1311878202.774116	1311878202.769700
249	1311878202.802526	1311878202.806033	1311878202.803200
250	1311878202.833846	1311878202.842065	1311878202.833300
251	1311878202.865921	1311878202.875331	1311878202.866600
252	1311878202.903446	1311878202.906074	1311878202.903200
253	1311878202.933911	1311878202.942067	1311878202.933200
254	1311878202.969768	1311878202.973958	1311878202.969700
255	1311878203.002027	1311878203.006251	1311878203.003100
256	1311878203.034124	1311878203.042060	1311878203.033100
257	1311878203.069847	1311878203.074065	1311878203.069800
258	1311878203.102237	1311878203.106633	1311878203.103100
259	1311878203.134534	1311878203.142803	1311878203.133200
260	1311878203.169913	1311878203.174238	1311878203.169900
261	1311878203.204276	1311878203.206098	1311878203.203200
262	1311878203.233625	1311878203.242220	1311878203.233200
263	1311878203.271837	1311878203.273968	1311878203.273100
264	1311878203.301427	1311878203.306276	1311878203.300700
265	1311878203.333960	1311878203.342073	1311878203.333200
266	1311878203.369721	1311878203.374071	1311878203.369900
267	1311878203.402052	1311878203.406354	1311878203.403100
268	1311878203.433924	1311878203.442198	1311878203.433200
269	1311878203.469971	1311878203.474247	1311878203.469900
270	1311878203.501971	1311878203.505994	1311878203.503200
271	1311878203.533569	1311878203.542092	1311878203.533300
272	1311878203.569564	1311878203.574198	1311878203.569800
273	1311878203.601574	1311878203.606251	1311878203.603000
274	1311878203.634674	1311878203.642340	1311878203.633300
275	1311878203.669606	1311878203.673979	1311878203.669800
276	1311878203.703154	1311878203.706026	1311878203.703100
277	1311878203.733906	1311878203.742438	1311878203.733000
278	1311878203.769692	1311878203.774002	1311878203.769600
279	1311878203.802296	1311878203.805973	1311878203.803200
280	1311878203.833954	1311878203.841862	1311878203.833100
281	1311878203.870876	1311878203.875365	1311878203.870100
282	1311878203.901839	1311878203.906100	1311878203.903200
283	1311878203.935846	1311878203.943005	1311878203.936500
284	1311878203.969753	1311878203.973857	1311878203.970000
285	1311878204.002698	1311878204.005977	1311878204.003600
286	1311878204.033962	1311878204.041993	1311878204.033200
287	1311878204.071139	1311878204.073949	1311878204.069800
288	1311878204.102202	1311878204.106130	1311878204.103300
289	1311878204.138193	1311878204.141982	1311878204.136600
290	1311878204.169936	1311878204.173937	1311878204.169900
291	1311878204.202867	1311878204.205872	1311878204.203100
292	1311878204.238436	1311878204.241957	1311878204.239700
293	1311878204.269671	1311878204.273915	1311878204.270000
294	1311878204.301566	1311878204.306004	1311878204.303100
295	1311878204.339252	1311878204.341849	1311878204.339700
296	1311878204.369856	1311878204.373845	1311878204.369800
297	1311878204.401610	1311878204.406011	1311878204.403200
298	1311878204.438469	1311878204.441928	1311878204.439600
299	1311878204.469943	1311878204.474041	1311878204.469700
300	1311878204.501673	1311878204.506315	1311878204.503100
301	1311878204.540007	1311878204.542053	1311878204.539800
302	1311878204.570218	1311878204.573878	1311878204.569700
303	1311878204.601879	1311878204.606140	1311878204.603100
304	1311878204.638029	1311878204.642074	1311878204.636400
305	1311878204.670448	1311878204.673973	1311878204.669700
306	1311878204.702566	1311878204.705931	1311878204.703100
307	1311878204.738536	1311878204.742051	1311878204.739700
308	1311878204.771436	1311878204.773947	1311878204.769800
309	1311878204.802037	1311878204.806110	1311878204.803100
310	1311878204.838245	1311878204.841912	1311878204.839800
311	1311878204.870017	1311878204.873973	1311878204.869900
312	1311878204.901842	1311878204.906126	1311878204.903000
313	1311878204.938560	1311878204.942080	1311878204.939900
314	1311878204.969944	1311878204.973963	1311878204.971100
315	1311878205.001985	1311878205.006151	1311878205.003100
316	1311878205.039072	1311878205.041933	1311878205.039700
317	1311878205.070645	1311878205.073962	1311878205.069900
318	1311878205.104054	1311878205.105855	1311878205.103100
319	1311878205.138548	1311878205.141948	1311878205.139500
320	1311878205.170315	1311878205.173954	1311878205.169700
321	1311878205.202300	1311878205.205991	1311878205.203300
322	1311878205.239674	1311878205.242002	1311878205.239600
323	1311878205.270692	1311878205.273921	1311878205.269700
324	1311878205.306283	1311878205.306204	1311878205.306500
325	1311878205.339254	1311878205.341998	1311878205.340000
326	1311878205.370320	1311878205.373930	1311878205.370500
327	1311878205.406319	1311878205.406303	1311878205.406300
328	1311878205.438415	1311878205.442034	1311878205.439800
329	1311878205.471084	1311878205.473974	1311878205.469800
330	1311878205.506396	1311878205.506390	1311878205.506400
331	1311878205.538794	1311878205.542071	1311878205.539700
332	1311878205.570929	1311878205.574020	1311878205.569700
333	1311878205.608190	1311878205.608181	1311878205.609700
334	1311878205.639078	1311878205.641830	1311878205.639700
335	1311878205.670664	1311878205.673969	1311878205.669700
336	1311878205.706291	1311878205.706275	1311878205.706400
337	1311878205.740611	1311878205.741858	1311878205.739700
338	1311878205.771302	1311878205.773951	1311878205.769700
339	1311878205.808994	1311878205.808989	1311878205.809800
340	1311878205.838272	1311878205.841994	1311878205.839700
341	1311878205.870593	1311878205.874019	1311878205.869800
342	1311878205.907468	1311878205.907346	1311878205.906400
343	1311878205.938338	1311878205.941947	1311878205.939700
344	1311878205.972250	1311878205.974067	1311878205.973100
345	1311878206.006406	1311878206.006333	1311878206.006300
346	1311878206.040059	1311878206.041987	1311878206.039800
347	1311878206.070405	1311878206.073888	1311878206.069700
348	1311878206.106163	1311878206.106154	1311878206.106500
349	1311878206.138019	1311878206.142035	1311878206.136400
350	1311878206.170861	1311878206.173770	1311878206.169600
351	1311878206.215331	1311878206.209247	1311878206.216400
352	1311878206.239335	1311878206.241923	1311878206.239800
353	1311878206.270806	1311878206.273922	1311878206.269800
354	1311878206.306847	1311878206.306840	1311878206.306300
355	1311878206.338650	1311878206.342000	1311878206.339600
356	1311878206.371031	1311878206.373928	1311878206.369700
357	1311878206.408388	1311878206.408370	1311878206.409800
358	1311878206.438617	1311878206.443025	1311878206.439600
359	1311878206.470675	1311878206.474074	1311878206.469900
360	1311878206.509119	1311878206.509106	1311878206.509500
361	1311878206.538558	1311878206.542974	1311878206.539900
362	1311878206.570611	1311878206.574152	1311878206.569800
363	1311878206.608193	1311878206.608181	1311878206.609800
364	1311878206.638690	1311878206.643524	1311878206.639800
365	1311878206.678274	1311878206.678248	1311878206.679700
366	1311878206.706778	1311878206.706723	1311878206.707000
367	1311878206.738502	1311878206.742016	1311878206.739700
368	1311878206.779545	1311878206.775756	1311878206.779700
369	1311878206.806564	1311878206.806557	1311878206.806500
370	1311878206.838936	1311878206.842519	1311878206.839700
371	1311878206.878008	1311878206.877963	1311878206.879700
372	1311878206.907159	1311878206.906723	1311878206.906700
373	1311878206.938577	1311878206.941933	1311878206.939700
374	1311878206.978132	1311878206.978366	1311878206.979600
375	1311878207.008156	1311878207.008265	1311878207.009800
376	1311878207.038842	1311878207.042220	1311878207.039800
377	1311878207.076598	1311878207.076555	1311878207.076300
378	1311878207.107720	1311878207.107441	1311878207.106800
379	1311878207.139999	1311878207.142368	1311878207.139900
380	1311878207.176480	1311878207.176458	1311878207.176500
381	1311878207.209256	1311878207.209246	1311878207.209700
382	1311878207.238421	1311878207.241936	1311878207.239700
383	1311878207.275129	1311878207.275118	1311878207.276400
384	1311878207.306871	1311878207.306859	1311878207.306800
385	1311878207.338795	1311878207.342489	1311878207.339700
386	1311878207.376954	1311878207.376941	1311878207.376400
387	1311878207.407832	1311878207.406744	1311878207.406400
388	1311878207.438664	1311878207.442028	1311878207.439500
389	1311878207.475575	1311878207.475541	1311878207.476500
390	1311878207.507181	1311878207.507174	1311878207.506300
391	1311878207.538769	1311878207.544523	1311878207.539800
392	1311878207.575041	1311878207.575033	1311878207.576500
393	1311878207.606973	1311878207.606578	1311878207.606300
394	1311878207.638718	1311878207.641861	1311878207.639700
395	1311878207.674560	1311878207.674813	1311878207.673000
396	1311878207.708395	1311878207.708313	1311878207.709600
397	1311878207.738601	1311878207.746534	1311878207.739500
398	1311878207.775517	1311878207.775512	1311878207.776600
399	1311878207.807662	1311878207.806360	1311878207.806300
400	1311878207.843739	1311878207.843730	1311878207.842800
401	1311878207.877044	1311878207.876201	1311878207.876400
402	1311878207.906327	1311878207.906310	1311878207.906400
403	1311878207.947325	1311878207.943993	1311878207.946500
404	1311878207.975933	1311878207.975923	1311878207.976300
405	1311878208.006376	1311878208.006370	1311878208.006400
406	1311878208.046129	1311878208.046120	1311878208.046300
407	1311878208.074516	1311878208.074510	1311878208.072900
408	1311878208.106496	1311878208.106489	1311878208.106300
409	1311878208.145427	1311878208.145419	1311878208.146200
410	1311878208.174661	1311878208.174622	1311878208.176100
411	1311878208.206769	1311878208.206761	1311878208.206400
412	1311878208.250188	1311878208.245251	1311878208.249600
413	1311878208.274414	1311878208.274405	1311878208.272800
414	1311878208.306923	1311878208.306352	1311878208.306200
415	1311878208.346961	1311878208.342505	1311878208.346400
416	1311878208.377380	1311878208.375134	1311878208.376300
417	1311878208.406526	1311878208.406517	1311878208.406700
418	1311878208.442461	1311878208.442454	1311878208.443000
419	1311878208.474747	1311878208.474738	1311878208.473300
420	1311878208.508489	1311878208.508484	1311878208.510000
421	1311878208.542432	1311878208.542428	1311878208.542800
422	1311878208.574574	1311878208.574565	1311878208.576200
423	1311878208.607027	1311878208.607020	1311878208.606200
424	1311878208.642409	1311878208.647008	1311878208.643000
425	1311878208.675645	1311878208.675637	1311878208.676400
426	1311878208.707688	1311878208.708205	1311878208.706600
427	1311878208.742310	1311878208.742303	1311878208.743000
428	1311878208.774916	1311878208.774910	1311878208.776300
429	1311878208.807636	1311878208.807627	1311878208.806500
430	1311878208.842562	1311878208.842557	1311878208.842800
431	1311878208.874686	1311878208.874663	1311878208.873100
432	1311878208.906630	1311878208.906621	1311878208.906400
433	1311878208.942425	1311878208.942420	1311878208.942900
434	1311878208.975875	1311878208.975866	1311878208.976300
435	1311878209.006520	1311878209.006512	1311878209.006100
436	1311878209.045489	1311878209.045198	1311878209.046300
437	1311878209.074461	1311878209.074457	1311878209.072900
438	1311878209.116657	1311878209.105912	1311878209.116400
439	1311878209.142966	1311878209.147271	1311878209.142800
440	1311878209.174711	1311878209.174682	1311878209.176400
441	1311878209.212243	1311878209.205844	1311878209.213000
442	1311878209.242548	1311878209.242533	1311878209.242900
443	1311878209.274703	1311878209.274689	1311878209.276400
444	1311878209.310453	1311878209.314053	1311878209.309500
445	1311878209.342631	1311878209.342531	1311878209.342900
446	1311878209.375832	1311878209.377351	1311878209.376600
447	1311878209.410921	1311878209.410848	1311878209.409600
448	1311878209.443038	1311878209.443029	1311878209.442900
449	1311878209.475627	1311878209.475616	1311878209.476400
450	1311878209.510457	1311878209.510446	1311878209.509600
451	1311878209.542796	1311878209.542609	1311878209.543000
452	1311878209.574694	1311878209.574684	1311878209.573300
453	1311878209.610674	1311878209.610662	1311878209.609500
454	1311878209.643250	1311878209.643243	1311878209.642900
455	1311878209.674367	1311878209.674355	1311878209.673000
456	1311878209.711828	1311878209.711947	1311878209.713000
457	1311878209.742615	1311878209.742604	1311878209.742900
458	1311878209.774258	1311878209.774248	1311878209.772900
459	1311878209.810748	1311878209.810498	1311878209.809700
460	1311878209.846097	1311878209.842596	1311878209.846100
461	1311878209.874236	1311878209.874230	1311878209.872800
462	1311878209.910404	1311878209.910397	1311878209.909700
463	1311878209.942629	1311878209.942622	1311878209.942700
464	1311878209.974665	1311878209.974645	1311878209.976300
465	1311878210.011191	1311878210.010438	1311878210.012800
466	1311878210.042554	1311878210.042541	1311878210.042800
467	1311878210.078256	1311878210.074306	1311878210.079400
468	1311878210.110450	1311878210.110443	1311878210.109600
469	1311878210.142214	1311878210.142208	1311878210.142900
470	1311878210.174314	1311878210.174309	1311878210.172900
471	1311878210.212870	1311878210.212859	1311878210.213000
472	1311878210.242591	1311878210.242548	1311878210.243900
473	1311878210.274626	1311878210.274577	1311878210.276200
474	1311878210.310606	1311878210.310598	1311878210.309800
475	1311878210.345979	1311878210.345963	1311878210.346200
476	1311878210.380909	1311878210.373736	1311878210.379400
477	1311878210.410620	1311878210.410604	1311878210.409600
478	1311878210.445019	1311878210.445005	1311878210.446200
479	1311878210.480520	1311878210.473703	1311878210.479400
480	1311878210.513264	1311878210.513259	1311878210.513100
481	1311878210.542627	1311878210.542619	1311878210.542800
482	1311878210.579682	1311878210.573923	1311878210.579600
483	1311878210.611050	1311878210.611041	1311878210.609600
484	1311878210.643920	1311878210.643915	1311878210.642900
485	1311878210.680567	1311878210.673789	1311878210.679300
486	1311878210.711980	1311878210.711975	1311878210.712900
487	1311878210.742096	1311878210.742085	1311878210.743000
488	1311878210.780981	1311878210.773875	1311878210.779600
489	1311878210.810467	1311878210.810359	1311878210.809600
490	1311878210.843852	1311878210.845242	1311878210.842800
491	1311878210.881220	1311878210.873711	1311878210.882700
492	1311878210.912022	1311878210.912014	1311878210.912900
493	1311878210.942522	1311878210.942510	1311878210.942800
494	1311878210.979325	1311878210.973963	1311878210.979500
495	1311878211.010324	1311878211.010316	1311878211.009600
496	1311878211.044390	1311878211.044346	1311878211.042900
497	1311878211.078437	1311878211.073872	1311878211.079500
498	1311878211.110785	1311878211.110659	1311878211.109500
499	1311878211.142770	1311878211.142757	1311878211.142800
500	1311878211.178778	1311878211.173849	1311878211.179400
501	1311878211.210543	1311878211.211868	1311878211.209500
502	1311878211.242597	1311878211.242563	1311878211.243100
503	1311878211.278690	1311878211.273802	1311878211.279500
504	1311878211.312308	1311878211.312296	1311878211.312800
505	1311878211.342409	1311878211.342385	1311878211.343000
506	1311878211.379993	1311878211.373888	1311878211.379400
507	1311878211.410536	1311878211.410528	1311878211.409600
508	1311878211.442803	1311878211.442793	1311878211.442900
509	1311878211.480649	1311878211.473798	1311878211.479600
510	1311878211.510543	1311878211.510484	1311878211.509500
511	1311878211.551131	1311878211.541947	1311878211.549500
512	1311878211.580567	1311878211.573701	1311878211.579600
513	1311878211.614192	1311878211.610406	1311878211.613000
514	1311878211.649595	1311878211.641799	1311878211.649600
515	1311878211.681325	1311878211.673851	1311878211.682900
516	1311878211.710955	1311878211.710950	1311878211.709700
517	1311878211.747850	1311878211.741811	1311878211.746200
518	1311878211.779888	1311878211.773934	1311878211.779400
519	1311878211.810328	1311878211.810307	1311878211.809400
520	1311878211.848562	1311878211.841878	1311878211.849500
521	1311878211.880176	1311878211.873870	1311878211.879800
522	1311878211.910817	1311878211.910785	1311878211.909500
523	1311878211.947300	1311878211.942015	1311878211.946100
524	1311878211.979150	1311878211.973829	1311878211.979400
525	1311878212.010613	1311878212.010605	1311878212.009300
526	1311878212.048004	1311878212.041796	1311878212.049500
527	1311878212.080138	1311878212.073994	1311878212.079600
528	1311878212.112395	1311878212.113665	1311878212.112800
529	1311878212.149662	1311878212.141856	1311878212.149600
530	1311878212.180766	1311878212.173798	1311878212.179400
531	1311878212.210472	1311878212.210466	1311878212.209400
532	1311878212.246595	1311878212.241720	1311878212.246100
533	1311878212.279028	1311878212.273807	1311878212.279400
534	1311878212.312394	1311878212.312379	1311878212.312900
535	1311878212.349243	1311878212.341926	1311878212.349500
536	1311878212.381384	1311878212.373799	1311878212.382900
